k	5.10	5.15	5.20	10.20	10.30	15.30	courses	sushi	skate	14.9
361	0	0	0	1.43	8.23	15.25	90.5	1	0	
362	0	0	0	1.43	8.19	15.18	90.37	0.92	0	
363	0	0	0	1.41	8.17	15.14	90.2	0.86	0	
364	0	0	0	1.34	8.08	15.11	90.07	0.83	0	
365	0	0	0	1.31	8.07	15.09	89.92	0.79	0	
366	0	0	0	1.29	8	15.08	89.75	0.75	0	
367	0	0	0	1.26	7.98	15.05	89.59	0.7	0	
368	0	0	0	1.24	7.95	15.03	89.44	0.66	0	
369	0	0	0	1.24	7.9	14.99	89.25	0.59	0	
370	0	0	0	1.23	7.89	14.95	89.1	0.49	0	
371	0	0	0	1.22	7.86	14.92	88.92	0.42	0	
372	0	0	0	1.22	7.83	14.89	88.8	0.34	0	
373	0	0	0	1.19	7.79	14.85	88.64	0.32	0	
374	0	0	0	1.17	7.74	14.84	88.47	0.3	0	
375	0	0	0	1.14	7.63	14.81	88.3	0.27	0	
376	0	0	0	1.08	7.55	14.79	88.19	0.24	0	
377	0	0	0	1.06	7.51	14.77	87.99	0.22	0	
378	0	0	0	1.04	7.48	14.71	87.86	0.2	0	
379	0	0	0	1.01	7.45	14.69	87.69	0.18	0	
380	0	0	0	0.98	7.41	14.65	87.56	0.14	0	
381	0	0	0	0.95	7.39	14.60	87.39	0.11	0	
382	0	0	0	0.94	7.34	14.58	87.22	0.1	0	
383	0	0	0	0.91	7.32	14.57	87.05	0.07	0	
384	0	0	0	0.87	7.31	14.54	86.9	0.05	0	
385	0	0	0	0.82	7.28	14.49	86.72	0.04	0	
386	0	0	0	0.8	7.27	14.47	86.6	0.04	0	
387	0	0	0	0.79	7.24	14.42	86.45	0.04	0	
388	0	0	0	0.75	7.19	14.42	86.32	0.04	0	
389	0	0	0	0.74	7.17	14.40	86.16	0.03	0	
390	0	0	0	0.74	7.12	14.37	86	0.02	0	
391	0	0	0	0.74	7.07	14.35	85.86	0.01	0	
392	0	0	0	0.73	7.05	14.31	85.7	0	0	
393	0	0	0	0.72	6.99	14.27	85.52	0	0	
394	0	0	0	0.71	6.99	14.25	85.41	0	0	
395	0	0	0	0.68	6.94	14.22	85.24	0	0	
396	0	0	0	0.67	6.91	14.21	85.1	0	0	
397	0	0	0	0.66	6.86	14.18	84.92	0	0	
