k	5.10	5.15	5.20	10.20	10.30	15.30	courses	sushi	skate	14.9
177	0	0	0	0.37	0.558	0.7082333333	0.8134246575	0.3343333333	0	0.2922222222
178	0	0	0	0.368	0.5546666667	0.7077666667	0.8123287671	0.331	0	0.29
179	0	0	0	0.3665	0.5543333333	0.7071	0.8113013699	0.328	0	0.2855555556
180	0	0	0	0.3625	0.5526666667	0.7064	0.8105479452	0.3256666667	0	0.2844444444
181	0	0	0	0.357	0.551	0.7024333333	0.8093835616	0.3243333333	0	0.2822222222
182	0	0	0	0.354	0.548	0.7014	0.8083561644	0.3216666667	0	0.2788888889
183	0	0	0	0.352	0.547	0.6999666667	0.8073287671	0.3186666667	0	0.2788888889
184	0	0	0	0.3485	0.5433333333	0.6995333333	0.8060958904	0.3156666667	0	0.2766666667
185	0	0	0	0.3465	0.542	0.6985	0.8049315068	0.314	0	0.2744444444
186	0	0	0	0.343	0.5373333333	0.6978666667	0.8040410959	0.313	0	0.2722222222
187	0	0	0	0.34	0.5323333333	0.6974666667	0.8030136986	0.3123333333	0	0.2722222222
188	0	0	0	0.334	0.5296666667	0.6974666667	0.8019863014	0.3093333333	0	0.27
189	0	0	0	0.3325	0.5276666667	0.6974666667	0.8010273973	0.3073333333	0	0.2677777778
190	0	0	0	0.3315	0.5263333333	0.6946	0.8000684932	0.304	0	0.2677777778
191	0	0	0	0.329	0.5236666667	0.6929333333	0.7989041096	0.301	0	0.2666666667
192	0	0	0	0.3245	0.523	0.6921	0.7978767123	0.2966666667	0	0.2633333333
193	0	0	0	0.3215	0.523	0.6912666667	0.7966438356	0.2933333333	0	0.2611111111
194	0	0	0	0.321	0.5216666667	0.6912666667	0.7958219178	0.2913333333	0	0.26
195	0	0	0	0.32	0.521	0.6905666667	0.7945890411	0.2903333333	0	0.26
196	0	0	0	0.316	0.5186666667	0.6894333333	0.793630137	0.289	0	0.2577777778
197	0	0	0	0.315	0.5156666667	0.6891	0.7926027397	0.2863333333	0	0.2566666667
198	0	0	0	0.3145	0.5133333333	0.6885333333	0.7915753425	0.2846666667	0	0.2544444444
199	0	0	0	0.312	0.5063333333	0.6882	0.7905479452	0.283	0	0.2522222222
200	0	0	0	0.312	0.5023333333	0.6875	0.7896575342	0.281	0	0.2488888889
201	0	0	0	0.311	0.501	0.6858333333	0.788630137	0.2783333333	0	0.2433333333
202	0	0	0	0.308	0.4993333333	0.6855333333	0.7874657534	0.2776666667	0	0.2388888889
203	0	0	0	0.307	0.4973333333	0.6855333333	0.7863013699	0.274	0	0.2333333333
204	0	0	0	0.304	0.4973333333	0.6855333333	0.7854109589	0.272	0	0.2333333333
205	0	0	0	0.3015	0.4936666667	0.6844	0.7845890411	0.271	0	0.2322222222
206	0	0	0	0.3005	0.493	0.6828333333	0.7835616438	0.2693333333	0	0.23
207	0	0	0	0.2995	0.493	0.6825	0.7825342466	0.2673333333	0	0.2277777778
208	0	0	0	0.2975	0.4926666667	0.6795666667	0.7813013699	0.265	0	0.2233333333
209	0	0	0	0.2965	0.4906666667	0.6794666667	0.7802054795	0.2616666667	0	0.22
210	0	0	0	0.2955	0.4906666667	0.6764666667	0.7790410959	0.2556666667	0	0.2177777778
211	0	0	0	0.294	0.4893333333	0.6758	0.777739726	0.253	0	0.2133333333
212	0	0	0	0.292	0.4866666667	0.6698666667	0.7767808219	0.2513333333	0	0.2111111111
213	0	0	0	0.292	0.485	0.6687666667	0.7757534247	0.249	0	0.2088888889
214	0	0	0	0.2895	0.4843333333	0.6679	0.7747945205	0.2476666667	0	0.2088888889
215	0	0	0	0.2885	0.4833333333	0.6669666667	0.7736986301	0.246	0	0.2055555556
216	0	0	0	0.287	0.4813333333	0.666	0.7726027397	0.2443333333	0	0.2011111111
217	0	0	0	0.2865	0.48	0.6653666667	0.7716438356	0.2423333333	0	0.1977777778
218	0	0	0	0.285	0.478	0.6644333333	0.7705479452	0.241	0	0.1955555556
219	0	0	0	0.2835	0.475	0.6644	0.7692465753	0.2396666667	0	0.1955555556
220	0	0	0	0.2825	0.4726666667	0.6631666667	0.7682191781	0.238	0	0.1933333333
221	0	0	0	0.282	0.4696666667	0.6615666667	0.7673972603	0.2353333333	0	0.1877777778
222	0	0	0	0.2785	0.4676666667	0.6598	0.7664383562	0.2333333333	0	0.1866666667
223	0	0	0	0.2755	0.4676666667	0.6591	0.7651369863	0.232	0	0.1855555556
224	0	0	0	0.2755	0.4676666667	0.6569	0.7644520548	0.2283333333	0	0.1811111111
225	0	0	0	0.2755	0.465	0.6552333333	0.7633561644	0.2266666667	0	0.1755555556
226	0	0	0	0.274	0.4643333333	0.6523	0.7624657534	0.2243333333	0	0.1733333333
227	0	0	0	0.2705	0.4623333333	0.6498333333	0.7610958904	0.223	0	0.1711111111
228	0	0	0	0.267	0.459	0.6491	0.7600684932	0.222	0	0.17
229	0	0	0	0.2655	0.458	0.6462333333	0.7590410959	0.2196666667	0	0.17
230	0	0	0	0.2645	0.4566666667	0.6448	0.7580136986	0.2173333333	0	0.1677777778
231	0	0	0	0.2625	0.4553333333	0.6419	0.7568493151	0.2166666667	0	0.1644444444
232	0	0	0	0.261	0.4543333333	0.6405666667	0.7560958904	0.2163333333	0	0.1622222222
233	0	0	0	0.2585	0.4536666667	0.6389333333	0.7547945205	0.2153333333	0	0.1588888889
234	0	0	0	0.258	0.4533333333	0.6386333333	0.7539041096	0.2136666667	0	0.1555555556
235	0	0	0	0.2555	0.4523333333	0.6375333333	0.7528767123	0.2126666667	0	0.1533333333
236	0	0	0	0.2535	0.4493333333	0.6372	0.7517808219	0.211	0	0.15
237	0	0	0	0.2535	0.446	0.6361666667	0.7508219178	0.2096666667	0	0.15
238	0	0	0	0.251	0.4436666667	0.6343	0.7497945205	0.2083333333	0	0.1466666667
239	0	0	0	0.249	0.4423333333	0.6320666667	0.7487671233	0.2063333333	0	0.1422222222
240	0	0	0	0.247	0.442	0.6305	0.7479452055	0.2043333333	0	0.14
241	0	0	0	0.2465	0.4366666667	0.6291666667	0.7466438356	0.204	0	0.1355555556
242	0	0	0	0.245	0.4333333333	0.6262	0.7455479452	0.2033333333	0	0.1344444444
243	0	0	0	0.2405	0.4326666667	0.6248333333	0.7445205479	0.2016666667	0	0.1333333333
244	0	0	0	0.239	0.4316666667	0.6247333333	0.7435616438	0.201	0	0.13
245	0	0	0	0.2375	0.4303333333	0.6247333333	0.7424657534	0.201	0	0.1288888889
246	0	0	0	0.236	0.4273333333	0.6239333333	0.7415068493	0.2006666667	0	0.1255555556
247	0	0	0	0.234	0.4273333333	0.6233333333	0.7402054795	0.199	0	0.1222222222
248	0	0	0	0.234	0.4253333333	0.6231	0.7393150685	0.1986666667	0	0.1188888889
249	0	0	0	0.2335	0.4213333333	0.6220666667	0.7380821918	0.198	0	0.1177777778
250	0	0	0	0.232	0.4186666667	0.6220666667	0.7370547945	0.1976666667	0	0.1166666667
251	0	0	0	0.231	0.4163333333	0.621	0.7359589041	0.1973333333	0	0.1144444444
252	0	0	0	0.229	0.414	0.6186333333	0.7349315068	0.1973333333	0	0.1144444444
253	0	0	0	0.228	0.413	0.6132333333	0.7339041096	0.196	0	0.1133333333
254	0	0	0	0.2265	0.4103333333	0.6113666667	0.7330136986	0.1956666667	0	0.11
255	0	0	0	0.2245	0.4083333333	0.6106333333	0.7318493151	0.195	0	0.1066666667
256	0	0	0	0.224	0.4076666667	0.6099333333	0.730890411	0.1943333333	0	0.1055555556
257	0	0	0	0.224	0.406	0.6095666667	0.7299315068	0.193	0	0.1033333333
258	0	0	0	0.2225	0.404	0.6060666667	0.7286986301	0.192	0	0.1033333333
259	0	0	0	0.221	0.401	0.6039333333	0.7276712329	0.1913333333	0	0.1022222222
260	0	0	0	0.2195	0.3993333333	0.6024333333	0.7266438356	0.191	0	0.1022222222
261	0	0	0	0.2195	0.3986666667	0.6004666667	0.7254794521	0.19	0	0.1011111111
262	0	0	0	0.2185	0.3966666667	0.6002666667	0.7245890411	0.1893333333	0	0.0988888889
263	0	0	0	0.2165	0.3946666667	0.5990666667	0.7235616438	0.189	0	0.0988888889
264	0	0	0	0.2155	0.393	0.5982	0.7226712329	0.189	0	0.0988888889
265	0	0	0	0.214	0.392	0.5977666667	0.7215068493	0.1886666667	0	0.0955555556
266	0	0	0	0.213	0.3906666667	0.5977666667	0.7203424658	0.1883333333	0	0.0944444444
267	0	0	0	0.211	0.39	0.5977666667	0.7191780822	0.1873333333	0	0.0933333333
268	0	0	0	0.2085	0.39	0.5976	0.7181506849	0.187	0	0.0922222222
269	0	0	0	0.2075	0.3883333333	0.5976	0.7171232877	0.1866666667	0	0.0911111111
270	0	0	0	0.204	0.3873333333	0.5972666667	0.7161643836	0.1853333333	0	0.0877777778
271	0	0	0	0.2035	0.3866666667	0.5972666667	0.715	0.184	0	0.0855555556
272	0	0	0	0.2025	0.3836666667	0.5972666667	0.714109589	0.184	0	0.0844444444
